Date,ACU.AX,AGL.AX,AHE.AX,AIQ.AX,AMS.AX,APW.AX,AQZ.AX,AVD.AX,BFL.AX,BHP.AX,BNL.AX,BPH.AX,CAN.AX,CCG.AX,CLG.AX,CLZ.AX,COL.AX,DAI.AX,DGT.AX,DTI.AX,EDV.AX,ENN.AX,EVN.AX,EWC.AX,FCG.AX,GTN.AX,GYG.AX,ILA.AX,INV.AX,KNM.AX,KSL.AX,LSX.AX,MCP.AX,MFD.AX,MSI.AX,MTS.AX,NOU.AX,NTD.AX,PTL.AX,QAN.AX,QBE.AX,RPM.AX,SFX.AX,SPK.AX,STP.AX,TIA.AX,VEN.AX,VGN.AX,VMT.AX,X2M.AX
2018-01-02,42546,850503,902706.0,0,388747.0,20000,50881,1241.0,5000.0,3653331,0,2448273,234627,27545,20878718.0,546,8752527.0,975624.0,22581770.0,3076,14644893.0,7225,5971581,88395,296323.0,368,3588164.0,18401152.0,9626,1777713,1379,147049.0,83688,682,0,2121703,8192,79539,20000,4903649,1525599,0,43499,318467,7678418.0,1620,2299425.0,29830526.0,37043,2972933.0
2018-01-03,70995,1413489,902706.0,0,388747.0,0,110016,1241.0,5000.0,7624353,0,619585,681976,62817,20878718.0,113,8752527.0,975624.0,22581770.0,110058,14644893.0,515050,7092299,99421,296323.0,2242,3588164.0,18401152.0,2793,593184,23348,147049.0,49905,0,0,2292353,34388,109446,31000,5150707,1612390,0,137549,471495,7678418.0,7075,2299425.0,29830526.0,49543,2972933.0
2018-01-04,1834,1388203,902706.0,0,388747.0,0,87192,1241.0,5000.0,6178215,0,0,3733781,0,20878718.0,60,8752527.0,975624.0,22581770.0,180264,14644893.0,4717,8459305,99421,296323.0,0,3588164.0,18401152.0,0,736923,11700,147049.0,1094,2000,0,2430703,35551,112044,185019,9517696,1809278,0,283574,963819,7678418.0,3287,2299425.0,29830526.0,25615,2972933.0
2018-01-05,33490,1130486,902706.0,0,388747.0,300,40603,1241.0,5000.0,6553946,0,0,4702696,109381,20878718.0,1558,8752527.0,975624.0,22581770.0,144384,14644893.0,31434,5474081,183787,296323.0,1431,3588164.0,18401152.0,20000,755500,14080,147049.0,56301,0,0,2130896,16300,63220,24192,7494807,2059735,0,137086,499662,7678418.0,0,2299425.0,29830526.0,23500,2972933.0
2018-01-08,67144,1085298,902706.0,0,388747.0,3367,447120,1241.0,5000.0,3677542,0,77264,1947951,8000,20878718.0,260,8752527.0,975624.0,22581770.0,125304,14644893.0,1454,6206686,592784,296323.0,0,3588164.0,18401152.0,0,3507667,44063,147049.0,82402,15000,0,2855950,28442,198333,111799,7197168,3662398,0,213927,801832,7678418.0,8801,2299425.0,29830526.0,227430,2972933.0
2018-01-09,67250,2010847,902706.0,0,388747.0,6333,38825,1241.0,5000.0,8077944,0,17909,954403,78377,20878718.0,930,8752527.0,975624.0,22581770.0,62051,14644893.0,68444,5618115,189351,296323.0,4133,3588164.0,18401152.0,12173,670860,62761,147049.0,100446,11270,0,1708386,35101,124141,91929,11591856,5846056,0,406264,832278,7678418.0,2599,2299425.0,29830526.0,120376,2972933.0
2018-01-10,2445,1902606,902706.0,0,388747.0,1170,64038,1241.0,5000.0,8058349,0,0,720357,1623,20878718.0,182,8752527.0,975624.0,22581770.0,50257,14644893.0,175982,5995323,212195,296323.0,0,3588164.0,18401152.0,2500,1724351,119373,147049.0,59298,94,0,2512839,30724,204408,94216,9948038,3327411,0,163510,1621325,7678418.0,11101,2299425.0,29830526.0,22625,2972933.0
2018-01-11,0,2340290,902706.0,0,388747.0,13099,46741,1241.0,5000.0,6386719,0,635668,453164,0,20878718.0,390,8752527.0,975624.0,22581770.0,55014,14644893.0,365868,6076723,137386,296323.0,495,3588164.0,18401152.0,0,1644691,27950,147049.0,30624,1578,0,1762530,33724,87412,12361,7505037,3599272,0,758346,1309144,7678418.0,800,2299425.0,29830526.0,198198,2972933.0
2018-01-12,30898,1320291,902706.0,0,388747.0,1334,87456,1241.0,5000.0,8073786,0,715738,548682,30000,20878718.0,505,8752527.0,975624.0,22581770.0,83765,14644893.0,24214,3950677,118947,296323.0,0,3588164.0,18401152.0,0,2047606,68413,147049.0,76625,2509,0,1954084,56739,344928,11959,12051748,3302264,0,270680,623049,7678418.0,2179,2299425.0,29830526.0,1556199,2972933.0
2018-01-15,95287,1037605,902706.0,0,388747.0,0,230843,1241.0,5000.0,7598664,0,129991,460324,97200,20878718.0,302,8752527.0,975624.0,22581770.0,102564,14644893.0,131305,13912246,175646,296323.0,0,3588164.0,18401152.0,2000,2032599,45568,147049.0,70822,10510,0,1135787,22639,267823,92649,11858138,2591183,0,310144,1171112,7678418.0,0,2299425.0,29830526.0,144530,2972933.0
