Date,MCP.AX,KSL.AX,AQZ.AX,SPK.AX,MTS.AX,AGL.AX,COL.AX,QAN.AX,QBE.AX,EVN.AX,BHP.AX
2018-01-02,83688,1379,50881,318467,2121703,850503,8752527.0,4903649,1525599,5971581,3653331
2018-01-03,49905,23348,110016,471495,2292353,1413489,8752527.0,5150707,1612390,7092299,7624353
2018-01-04,1094,11700,87192,963819,2430703,1388203,8752527.0,9517696,1809278,8459305,6178215
2018-01-05,56301,14080,40603,499662,2130896,1130486,8752527.0,7494807,2059735,5474081,6553946
2018-01-08,82402,44063,447120,801832,2855950,1085298,8752527.0,7197168,3662398,6206686,3677542
2018-01-09,100446,62761,38825,832278,1708386,2010847,8752527.0,11591856,5846056,5618115,8077944
2018-01-10,59298,119373,64038,1621325,2512839,1902606,8752527.0,9948038,3327411,5995323,8058349
2018-01-11,30624,27950,46741,1309144,1762530,2340290,8752527.0,7505037,3599272,6076723,6386719
2018-01-12,76625,68413,87456,623049,1954084,1320291,8752527.0,12051748,3302264,3950677,8073786
2018-01-15,70822,45568,230843,1171112,1135787,1037605,8752527.0,11858138,2591183,13912246,7598664
2018-01-16,120075,79817,75624,1463368,6182078,1999237,8752527.0,9965154,2438296,4335568,8528249
2018-01-17,91692,35835,112050,3427795,5198192,2059901,8752527.0,11053713,4550683,7132264,12353869
2018-01-18,177625,0,44013,2161962,2873003,2399824,8752527.0,7171412,2455509,5629353,7325751
2018-01-19,128988,848,29271,877192,1360632,1556285,8752527.0,13982256,2539619,8822983,4956536
2018-01-22,137227,66839,10721,1876615,3698758,1337198,8752527.0,7812100,3566838,4194138,5497384
2018-01-23,136779,163231,52125,1159512,2801258,1992229,8752527.0,8530157,18039117,5379648,5486626
2018-01-24,9634,21095,135308,1212236,1490136,2780390,8752527.0,7391648,16796954,5520186,11189008
2018-01-25,31027,95658,196403,1386467,4853596,2381128,8752527.0,6154518,6437764,7231262,11882928
2018-01-29,43266,7119,464009,1033244,3301440,2015276,8752527.0,5953176,3822585,9535055,6316063
2018-01-30,38797,7314,47602,847783,3182329,1427726,8752527.0,9184945,4590956,7761161,8531491
2018-01-31,43693,2559,69124,3773546,2542824,2114360,8752527.0,6292647,4268162,10955270,9369744
2018-02-01,380118,103862,47312,1117833,4664927,1955008,8752527.0,5187733,2622720,12838671,9343984
2018-02-02,1542820,31045,62967,936480,1852609,1694989,8752527.0,4038605,2069104,21517375,5609714
2018-02-05,93903,83641,382826,839650,1938864,1560466,8752527.0,7518533,3781279,13786167,8334026
2018-02-06,214011,526348,315375,1024898,4739319,3041933,8752527.0,8833908,8575291,15046972,16382768
2018-02-07,149065,28082,55204,1264072,4071785,2964129,8752527.0,10336888,4915942,23444253,10158504
2018-02-08,64026,11562,279954,945455,3360512,3653825,8752527.0,8572318,4100386,11743542,9111037
2018-02-09,192280,4032,1565898,874502,2961781,3420840,8752527.0,10251747,5121073,14518534,8913847
2018-02-12,44885,0,333626,839293,2599939,2916119,8752527.0,6859936,2957365,8144256,7467092
2018-02-13,108386,22133,527267,776322,3272583,3850321,8752527.0,5564952,4144181,9234275,6919349
2018-02-14,119113,0,117731,616760,6683391,2534880,8752527.0,4905778,3504597,6477258,5340234
2018-02-15,83304,14182,117660,917687,3996547,3389746,8752527.0,6248101,2969132,7573408,12093322
2018-02-16,56925,14182,119616,692100,1251846,2390551,8752527.0,4705347,3824919,11637441,6680249
2018-02-19,43133,0,33383,561810,1992529,2257848,8752527.0,2882107,3886321,7331466,7313920
2018-02-20,103049,0,26728,379837,1867494,1269409,8752527.0,24774035,3075855,5702307,9635468
2018-02-21,140468,0,34358,1144261,1167261,2132900,8752527.0,5204132,2885526,10030382,14619629
2018-02-22,108207,5854,65693,1334033,2907730,2961962,8752527.0,22045790,7009502,6691283,12913272
2018-02-23,166644,40338,40631,1205900,2934742,3348193,8752527.0,10524236,6525651,8889718,14773461
2018-02-26,79949,236275,78244,1156432,2109567,2102863,8752527.0,9058522,11046379,7010546,7433373
2018-02-27,50060,47668,79669,1143310,3672600,2343919,8752527.0,4851154,10282686,6654739,7933181
2018-02-28,218815,518136,292546,1826389,3157513,2702041,8752527.0,10359954,8543936,7784708,10663474
2018-03-01,231619,411271,138082,1025569,2064209,1877949,8752527.0,5632856,4362735,3619918,6729122
2018-03-02,144883,23720,63775,915752,1719056,1123072,8752527.0,13041364,3855447,5271789,11192402
2018-03-05,40492,73398,112538,870966,1547877,3921014,8752527.0,4754938,7565027,6673675,8628278
2018-03-06,83166,30840,256269,541527,2299605,4420863,8752527.0,11741071,4743819,4358285,8215230
2018-03-07,63012,107878,187687,535329,1695998,1782045,8752527.0,7789486,4664447,10621511,7526991
2018-03-08,70303,87613,133405,691945,1570655,3253250,8752527.0,6849081,4241908,6509831,8565541
2018-03-09,38833,35987,75671,1454014,3492913,1712707,8752527.0,6576661,4457490,4022907,9259286
